"set","n","10%","50%","90%"
"aubergine",500,0.0549333846172741,0.357029179017928,0.810919865852856
"aubergine",750,0.046613276296359,0.29772817770416,0.751760706172033
"aubergine",1000,0.0395641436924467,0.239996026156479,0.646577329561634
"black",500,0.0004828781025453,0.0183776419392639,0.22185719221996
"black",750,2.31346893923734e-05,0.00186265857170262,0.0418938727202938
"black",1000,1.48842484843634e-06,0.000122466034482099,0.00427224984215244
"blue",500,0.00244320689388289,0.0571148669462946,0.375558390548348
"blue",750,0.000361905470835676,0.0133103068442403,0.145747844534345
"blue",1000,7.07820218399441e-05,0.00238400613625759,0.0399666588986026
"expanse",500,0.0150911089070857,0.193101540810914,0.673226154849765
"expanse",750,0.00641577403576056,0.102499323588843,0.490619240120153
"expanse",1000,0.0031176556553187,0.0493076364024493,0.302537421699204
"green",500,4.42093035265538e-10,5.49801781205665e-07,0.000191190786697284
"green",750,1.46761210432245e-14,5.35015190920034e-11,5.62808799632272e-08
"green",1000,6.39941791031505e-19,2.73068058687961e-15,4.55315204175313e-12
"grey",500,0.0123560059652751,0.151530632754862,0.582280243237834
"grey",750,0.0043302723926425,0.0653585442285013,0.367776755042685
"grey",1000,0.00193084903553102,0.0270037617973383,0.182703655255317
"ice",500,0.0161208442125752,0.184162547806635,0.635832058773455
"ice",750,0.00737553915553911,0.0971252314154893,0.439010703225151
"ice",1000,0.00330812872475957,0.0459986068820745,0.264803404326798
"infernal",500,0.0592581052624379,0.370879060369807,0.823933557356698
"infernal",750,0.0531717561164386,0.314417774232698,0.752087174682821
"infernal",1000,0.0464128972826096,0.25541981102236,0.667925285720986
"jade",500,0.000712410774064815,0.0293637163576958,0.272475162356791
"jade",750,6.43618135840301e-05,0.00387309463304249,0.0723154664411861
"jade",1000,5.64530839920783e-06,0.000423693411146537,0.0112949232510917
"lt.rainbow",500,0.0112949232510917,0.154063758128862,0.608830712701322
"lt.rainbow",750,0.00406311918362239,0.0714122829420947,0.405888336420338
"lt.rainbow",1000,0.00152604340607167,0.0290588282346248,0.22018248869634
"mushroom",500,0.00447001193074253,0.100080108904539,0.528324030163334
"mushroom",750,0.00122738610642466,0.0356125032201295,0.287186463450453
"mushroom",1000,0.000313002495975291,0.010436767983636,0.115326813195354
"ocean",500,0.00784407064160921,0.130189014949489,0.543899424655601
"ocean",750,0.0022696876690257,0.0491454104243423,0.311596962118372
"ocean",1000,0.000799758571140583,0.0174040800782911,0.14184534432891
"opal",500,0.0549333846172741,0.339015318024444,0.792937256196704
"opal",750,0.044790818720916,0.268620998040296,0.697725403765882
"opal",1000,0.0368466781181937,0.213574941563827,0.592577835015663
"teal1",500,0.00566261946652689,0.0931116672223728,0.454272761677322
"teal1",750,0.00157777375641404,0.0295692296566192,0.218516920904009
"teal1",1000,0.000361905470835676,0.00784407064160921,0.0796544777176696
"teal2",500,0.00859952379868658,0.134709352507515,0.58173829146512
"teal2",750,0.00262934366273663,0.0538703516730259,0.355508027138832
"teal2",1000,0.000931226289453784,0.0202573398264968,0.179812217279961
"white",500,0.000342427554871074,0.0161208442125752,0.199238974451466
"white",750,1.9898582658524e-05,0.00157777375641404,0.0365968138207649
"white",1000,1.26666002599054e-06,0.000104017210623086,0.00356499674221715
